Longitude,Latitude,Depth (km),Length,Width,Strike,Dip,Rake,Slip,UnitSrc
122.59,1.46,25.1,11.70247,15.51889,103.98,21,76.672,9.1,acsza31
122.69,1.44,25.1,11.90921,15.35969,103.98,21,76.672,9.1,acsza31
122.78,1.41,25.1,12.11595,15.20049,103.98,21,76.672,9.1,acsza31
122.87,1.39,25.1,12.32268,15.04129,103.98,21,76.672,9.1,acsza31
122.96,1.37,25.1,12.52942,14.88208,103.98,21,76.672,9.1,acsza31
123.05,1.35,25.1,12.73616,14.72288,103.98,21,76.672,9.1,acsza31
123.14,1.33,25.1,12.97142,14.47546,103.38,21,77.272,9.1,acsza31
123.23,1.31,25.1,13.15967,14.53377,103.99,21,76.662,9.1,acsza31
123.32,1.28,25.1,13.34696,14.72118,105.08,21,75.572,9.1,acsza31
123.41,1.26,25.1,13.59276,14.7173,105.08,21,75.572,9.1,acsza31
123.5,1.23,25.1,13.83856,14.71343,105.08,21,75.572,9.1,acsza31
123.59,1.21,25.1,14.03571,14.85777,106.09,21,74.562,9.1,acsza31
123.68,1.18,25.1,14.24101,14.92028,106.77,21,73.882,9.1,acsza31
123.77,1.15,25.1,14.48348,14.81759,106.56,21,74.092,9.1,acsza31
123.86,1.13,25.1,14.71189,14.7515,106.56,21,74.092,9.1,acsza31
123.95,1.1,25.1,14.94029,14.68542,106.56,21,74.092,9.1,acsza31
119.66,1.05,30.01,10.24623,21.76585,23.77,21,156.882,9.1,acsza31
119.7,1.13,30.01,10.39237,21.70892,26.05,21,154.602,9.1,acsza31
119.75,1.2,30.01,13.23488,19.18114,49.98,21,130.672,9.1,acsza31
119.82,1.25,30.01,14.04375,18.35174,57.17,21,123.482,9.1,acsza31
119.9,1.3,30.01,14.07493,18.1721,59.64,21,121.012,9.1,acsza31
119.98,1.35,30.01,13.86777,18.28833,59.64,21,121.012,9.1,acsza31
120.06,1.38,30.01,14.30007,16.34453,71.97,21,108.682,9.1,acsza31
120.15,1.4,30.01,14.65755,14.55621,82.12,21,98.532,9.1,acsza31
120.24,1.42,30.01,14.41546,14.54278,82.12,21,98.532,9.1,acsza31
120.33,1.43,30.01,14.19529,14.18715,84.05,21,96.602,9.1,acsza31
120.42,1.44,30.01,13.95319,14.01985,84.54,21,96.112,9.1,acsza31
120.51,1.45,30.01,13.70425,13.92089,84.54,21,96.112,9.1,acsza31
120.6,1.46,30.01,13.45532,13.82193,84.54,21,96.112,9.1,acsza31
120.69,1.47,30.01,13.11936,14.50266,80.1,21,100.552,9.1,acsza31
120.78,1.49,30.01,12.85861,14.8604,78.39,21,102.262,9.1,acsza31
120.87,1.5,30.01,12.69275,14.3607,81.86,21,98.792,9.1,acsza31
120.96,1.51,30.01,12.50377,14.25959,83.8,21,96.852,9.1,acsza31
121.05,1.51,30.01,12.34501,14.34801,96.24,21,84.412,9.1,acsza31
121.14,1.5,30.01,12.12509,14.1653,96.24,21,84.412,9.1,acsza31
121.23,1.49,30.01,11.90517,13.9826,96.24,21,84.412,9.1,acsza31
121.32,1.48,30.01,11.65756,14.18373,98.05,21,82.602,9.1,acsza31
121.41,1.47,30.01,11.42159,14.22336,98.79,21,81.862,9.1,acsza31
121.5,1.46,30.01,11.24902,13.3233,93.09,21,87.562,9.1,acsza31
121.59,1.46,30.01,11.02309,13.22337,91.61,21,89.042,9.1,acsza31
121.68,1.45,30.01,10.77969,13.38534,91.61,21,89.042,9.1,acsza31
121.77,1.45,30.01,10.53495,13.55796,91.66,21,88.992,9.1,acsza31
121.86,1.44,30.01,10.28946,13.73652,91.73,21,88.922,9.1,acsza31
121.95,1.44,30.01,10.21469,14.07306,92.93,21,87.722,9.1,acsza31
